
chr	start	end	LAF	logR
1	69223	4834523	0.445030335	-0.038606278
1	6100667	14142993	0.4375	0.042693104
1	15287258	29652142	0.436363636	0.015784217
1	31187134	49224726	0.448730884	0.023168458
1	50610744	55529187	0.430508475	0.021785292
1	56962256	57756669	0.445054945	-0.116237683
1	58946741	60538262	0.444444444	-0.025180032
1	61553894	68960245	0.454545455	0.055024334
1	74648361	77094390	0.437948718	-0.030715596
1	84335705	87805807	0.027402402	-0.902822842
1	89318962	95657288	0.033149171	-0.899106727
1	97217018	101705424	0.029621297	-0.919757518
1	101705491	104297403	0.475409836	0.013819518
1	107691338	120934508	0.453619161	-0.006453193
1	144852417	148594539	0.346832398	-0.005103861
1	149901120	151734914	0.443089431	0.132897362
1	151735544	153390613	0.423076923	-0.216317951
1	153391700	156810780	0.441295547	0.064875041
1	156811225	160106756	0.45989569	-0.108004918
1	160109480	163325192	0.429285714	0.024943737
1	164529155	186957574	0.452054795	-0.002336438
1	199997007	208391196	0.444794953	-0.015283359
1	209605594	232002296	0.441176471	0.00467973
1	233091379	238053848	0.423076923	0.051052759
1	240070823	247614480	0.407407407	0.016978063
1	247614769	249212460	0.472972973	-0.20485869
2	3193188	3691676	0.459985375	-0.109074093
2	8822381	12880822	0.425149701	0.032398504
2	14774267	16769352	0.456682944	-0.007309527
2	17773422	21265290	0.462476548	-0.049420579
2	24194215	32143050	0.459648244	0.015984785
2	32145923	33824262	0.458778996	0.110319274
2	36583607	40657381	0.453608247	0.07728174
2	42275939	50573957	0.445906433	0.050812732
2	53897730	56149535	0.436170213	0.096865139
2	60679755	65492243	0.459325397	0.121720204
2	67624665	75937819	0.453033088	0.001476779
2	84652621	88926592	0.416666667	0.019213339
2	95537587	103431317	0.4	-0.027569417
2	105472968	107460366	0.429129464	-0.112077568
2	108604700	114714984	0.421052632	0.037811735
2	118572396	122522881	0.464375	-0.060255994
2	127447859	128945104	0.458114035	0.031602909
2	130897195	133402933	0.330687831	-0.088342345
2	140990825	145274881	0.448979592	-0.124813622
2	150294281	155711746	0.458464722	0.08420899
2	157182390	163694990	0.415780456	-0.039609866
2	165349619	166929982	0.439641745	-0.050340089
2	168725603	180634443	0.439393939	0.005865001
2	187455142	193059164	0.425257732	0.013401639
2	196544917	199011595	0.434316354	0.071154901
2	200137073	204822564	0.441176471	0.11016923
2	206548051	209358193	0.447761194	-0.026515181
2	210518000	220506411	0.450079239	-0.001461959
2	222290805	225449693	0.448827121	-0.009340004
2	227659793	230456575	0.488945578	-0.052022042
2	230875505	242800952	0.445527213	-0.078083101
3	2942437	5257558	0.015936255	-0.973174014
3	6903229	20225448	0.020416667	-0.950292647
3	25470301	33907930	0.024725275	-0.90139974
3	35723308	41280729	0.0375	-0.971625338
3	42201909	53916067	0.024390244	-0.306215655
3	56598011	60522644	0.018518519	-0.194515014
3	68788288	74570236	0.25	0.007325948
3	87289894	89528599	0.211111111	0.007703473
3	97487013	102196374	0.182246377	0.213833921
3	107096561	109056337	0.093220339	0.062563489
3	110790944	114069686	0.160067288	0.183637804
3	118621400	122598167	0.021440037	0.004987356
3	122629069	131624197	0.029761905	-0.11846233
3	132036360	134280298	0.019607843	-0.006372502
3	135720451	143708507	0.029557368	0.023528274
3	148458911	150263880	0.015822785	-0.015701609
3	150377764	152880934	0.025188537	-1.007426355
3	153994052	161063996	0.023529412	-0.882412125
3	167159935	173999017	0.044444444	-0.919063789
3	178525225	181430864	0.052631579	-0.876524894
3	182538106	186917649	0.021276596	-0.884493042
3	186937952	193185179	0.022404646	-0.123544255
3	193188715	197765488	0.076923077	0.06602955
4	337623	8242542	0.434554974	-0.046808053
4	15008973	18023268	0.463750487	0.024922475
4	23797496	27024495	0.440972222	-0.013118882
4	37591830	42629069	0.433492999	0.058875966
4	47514798	49063868	0.459459459	-0.01255101
4	52729638	57367916	0.434782609	0.000629733
4	68424587	85781654	0.025210084	-0.903442423
4	86491784	90035616	0.444444444	0.040092878
4	93225851	96762376	0.023151091	-0.986413488
4	98480238	111553567	0.038314739	-0.951550606
4	113066813	115997971	0.033707865	-0.927082768
4	118005505	124323420	0.02	-0.93343631
4	128554262	130032893	0.025559105	-0.835726343
4	138442218	149357911	0.022988506	-0.948334506
4	151000333	159644398	0.027027027	-0.949978648
4	164050121	171010808	0.019607843	-0.952866766
4	172735800	177190161	0.028381643	-0.961838985
4	183812591	187476416	0.025316456	-0.878262145
4	190862195	190948326	0.279220779	-0.404019052
5	140604	3601125	0.369185185	-0.384553353
5	6372665	7900099	0.405660377	-0.345662964
5	9043068	11732304	0.39219358	-0.340298879
5	13692165	14871508	0.416666667	-0.310816818
5	31267705	39394377	0.408421958	-0.213869842
5	40681215	45695924	0.4	-0.276385229
5	52084218	58147084	0.449275362	0.042585966
5	63256317	65474621	0.416666667	0.074882042
5	67522673	70308321	0.428571429	0.215963324
5	70308505	72875812	0.440428974	0.006596103
5	73930646	83680159	0.454545455	0.028045568
5	89695243	90678740	0.448864074	-0.036763468
5	92920973	96518862	0.456417998	0.015223888
5	106717016	111071165	0.448275862	-0.029607507
5	112090655	115627243	0.368243243	0.015136455
5	125759340	135288608	0.450381679	0.008035679
5	136314438	143853410	0.448627727	-0.006139895
5	145144533	151784413	0.454545455	-0.032938077
5	152870489	154346327	0.466666667	-0.033515206
5	156346510	161580230	0.441624365	-0.0253914
5	167719217	180795191	0.447914155	-0.020793274
6	311921	8430319	0.426160338	-0.055936095
6	10398788	12296247	0.450643777	-0.001911357
6	15374415	18465228	0.444736842	0.04876437
6	24134650	28543659	0.45	-0.038049591
6	28547122	33371117	0.391304348	0.285565938
6	33371726	47847479	0.453634085	-0.00282837
6	49399505	57075101	0.448944133	-0.038363138
6	69348598	72011640	0.462024245	-0.041254463
6	73332151	74533269	0.443021049	0.170696026
6	82459495	86351083	0.420289855	0.040947942
6	87725179	91296526	0.457870792	0.035015416
6	99282863	102516304	0.435897436	0.001483929
6	105177588	112671504	0.45	0.056909659
6	116263682	119669989	0.4375	-0.029448424
6	121768070	139694859	0.45	-0.017907704
6	142396820	153365094	0.440405506	-0.004192985
6	154481034	155776215	0.420293369	0.044145721
6	157099261	160239636	0.427272727	-0.003139015
6	160240103	163987790	0.415686945	-0.142968552
6	165693572	170892733	0.445090439	-0.104002713
7	540108	8272302	0.333333333	0.548503158
7	12254545	12728407	0.328125	0.475131199
7	15240947	17382616	0.326086957	0.572007715
7	19156487	40173984	0.33501361	0.501751972
7	41729452	45956991	0.332520325	0.4771044
7	47832310	48147884	0.334042553	0.547893036
7	49815184	51287517	0.3055391	0.505271479
7	54610463	56172088	0.339483395	0.566509863
7	63981573	66703397	0.33177717	0.69373825
7	69064781	84751132	0.329332815	0.579675857
7	86394519	105207662	0.321794872	0.576279946
7	105401866	108524537	0.34057971	0.532433793
7	110303717	117832011	0.343795788	0.455057475
7	119914758	124532377	0.345454545	0.454632072
7	126086268	135661812	0.341269841	0.507897698
7	136699643	144463008	0.352380952	0.492272866
7	145814017	152551590	0.321428571	0.484083256
7	154862692	158935187	0.301110681	0.49648498
8	1719364	2092824	0.370548219	0.233041696
8	6360702	11853731	0.363636364	0.302102982
8	12943380	20112649	0.38189812	0.341629022
8	21766951	27633058	0.38671875	0.316824101
8	27634000	31030564	0.372613676	0.416552485
8	37553613	42977934	0.357142857	0.411113181
8	52733062	57905927	0.375	0.380676294
8	61121411	62626879	0.370967742	0.338265213
8	65493387	76476270	0.379128857	0.386386795
8	79510695	82752134	0.377224536	0.391354491
8	90770375	93088236	0.392857143	0.309039946
8	94767254	105601086	0.381330014	0.415338287
8	107691479	110986374	0.353233831	0.281813367
8	117657293	122641468	0.390804598	0.370120755
8	123963905	126448671	0.370629371	0.427611988
8	131191552	134488091	0.370967742	0.224114564
8	139158247	146279473	0.379814815	0.328468079
9	116925	8733811	0.029211087	-0.95591842
9	14120501	16738420	0.039097222	-2.934574481
9	17747098	22451727	0.018985372	-0.935792885
9	26842423	27950634	0.023865989	-0.924192222
9	32405553	39266948	0.027777778	-0.909798872
9	42376331	43133323	0.352941176	-0.804576458
9	70427799	75784995	0.013636364	-0.918945959
9	77245240	80943949	0.032726977	-0.909239698
9	85597644	92220939	0.02173913	-0.927366901
9	93375619	104500082	0.03629386	-0.936418356
9	106857698	108536253	0.033112583	-0.987376652
9	111617054	120476883	0.03125	-0.935158996
9	123151542	140729330	0.037735849	-0.942722662
10	93223	1779294	0.081168831	-0.094761571
10	3109843	3827155	0.025641026	-0.193573984
10	4872950	5810261	0.0216135	-0.141922183
10	5815854	8115849	0.155555556	0.203377181
10	11789408	17645987	0.161873764	0.296120775
10	17659184	18962988	0.016393443	0.014606512
10	20106064	23482734	0.02316534	-0.017226421
10	24498157	29843787	0.035162526	0.02074818
10	30749700	35930121	0.046263345	0.022086718
10	43088186	54531291	0.153846154	-0.147541975
10	59955964	64913710	0.013813953	-0.064411921
10	68979499	70992828	0.028469751	0.191720114
10	70998845	79797003	0.015873016	0.002706471
10	80961419	82403793	0.018867925	-0.073525592
10	87362180	101610456	0.034482759	0.023170825
10	101611323	107023100	0.174242424	0.230728423
10	111625006	112839090	0.160869565	0.217461246
10	113913366	124175446	0.161933505	0.213571838
10	124177450	129923885	0.165354331	0.107226226
10	131334573	135373626	0.155660377	0.122479711
11	197359	4159519	0.438596491	-0.0281221
11	4470704	8123099	0.450121655	-0.192348172
11	8132392	22833430	0.45	-0.002798263
11	26463562	28318388	0.434782609	-0.027792421
11	30253529	36680664	0.428801843	-0.036826084
11	43333712	50003894	0.434164934	0.01559995
11	51411546	51515996	0.458345436	-0.222776978
11	55032567	61624513	0.443181818	-0.102765103
11	61624964	78285463	0.451470168	-0.003470014
11	82443641	82996965	0.432751649	0.073390189
11	85342791	89956090	0.423728814	0.019819168
11	92703004	94732079	0.455213904	-0.017358502
11	100863260	112104224	0.441441441	0.018142613
11	113187008	115375050	0.439665272	-0.105342176
11	116619244	119185664	0.454183267	0.006888355
11	119185911	126283899	0.45	-0.102117881
11	128332361	134257497	0.434782609	-0.122377615
12	247532	16753691	0.446262613	-0.001871394
12	18234266	24048842	0.428571429	-0.020336883
12	25232364	33592382	0.455187922	0.04778904
12	38710781	52451007	0.449339207	0.006417095
12	52451193	53088492	0.446284657	-0.226280916
12	53089603	58209790	0.459321566	0.029855787
12	62147465	73056903	0.443037975	0.04180068
12	75436123	77458369	0.428571429	-0.009595527
12	88376926	90049586	0.434782609	0.011207914
12	91347343	97345779	0.446377228	0.021468853
12	98909744	110240872	0.452506266	0.033231446
12	110246187	115120923	0.452380952	0.077210378
12	116399129	125470785	0.447368421	0.094934055
12	129278817	133733314	0.450806058	-0.06721677
13	19748057	22275543	0.074074074	-0.783814728
13	23777928	34410336	0.033057851	-0.860348121
13	36049289	47469887	0.029787234	-0.878927405
13	48517546	53624698	0.023121387	-0.824988485
13	77459343	80911722	0.01372273	-0.915599725
13	92051378	103718525	0.037037037	-0.895124414
13	107145550	115091724	0.033333333	-0.950142362
14	19377622	25443947	0.441176471	-0.031868674
14	29236552	39901339	0.452133062	0.050952134
14	50052717	51131964	0.434367542	0.205260312
14	51132159	82000053	0.449448503	0.022749108
14	88477394	97342412	0.444263036	-0.007013488
14	99182628	105995857	0.454545455	-0.031812785
15	22368715	29561632	0.275669643	-0.587451672
15	30654613	33023348	0.25	-0.618697358
15	34158871	35834661	0.23255814	-0.508905658
15	37184485	43860706	0.029411765	-0.484637873
15	43990901	45983199	0.396917808	0.743801109
15	48052050	54025270	0.365853659	0.929395228
15	55477591	69747567	0.34375	0.938024256
15	70949430	86312993	0.327182861	0.90437359
15	88420258	91354608	0.286480569	0.859105242
15	91358420	93563333	0.282051282	0.761111946
15	94841690	95022229	0.314757482	0.694394577
15	98504220	102463159	0.275	0.703428301
16	97493	2144152	0.444444444	-0.076094669
16	2259404	5147692	0.441860465	0.021142477
16	8829631	12145899	0.430952381	0.021082567
16	14014128	17353296	0.430980392	0.040007627
16	18511276	25268401	0.437285469	0.003348751
16	27221494	31927774	0.432432432	0.044233392
