chr	start	end	LAF_median	logR_mean	minCNR	majCNR	cluster	status_cluster	status_seg
chr1	69223	4834523	0.445030334628875	-0.0386062778832245	0.866558652151664	1.0806314261928	8	Normal	Normal
chr1	6100667	14142993	0.4375	0.042693103618749	0.901280464712616	1.15878916891622	8	Normal	Normal
chr1	15287258	29652142	0.436363636363636	0.0157842173583918	0.882328018930274	1.13967369111827	8	Normal	Normal
chr1	31187134	49224726	0.448730883602379	0.023168458198804	0.91199058970824	1.12038699568737	8	Normal	Normal
chr1	50610744	55529187	0.430508474576271	0.0217852918058777	0.874117322794662	1.15631267897247	8	Normal	Normal
chr1	56962256	57756669	0.445054945054945	-0.116237683461554	0.821206914062355	1.02397405333701	8	Normal	Normal
chr1	58946741	60538262	0.444444444444444	-0.0251800315292388	0.87350929923506	1.09188662404383	8	Normal	Normal
chr1	61553894	68960245	0.454545454545455	0.0550243336963153	0.94443329609858	1.13331995531829	8	Normal	Normal
chr1	74648361	77094390	0.437948717948718	-0.0307155960577347	0.857446316972114	1.10042290796421	8	Normal	Normal
chr1	84335705	87805807	0.0274024024024025	-0.902822842109426	0.0293117588507345	1.04036667372949	5	Loss	Loss
chr1	89318962	95657288	0.033149171270718	-0.899106726889963	0.0355504069961064	1.03688687071978	5	Loss	Loss
chr1	97217018	101705424	0.029621297337833	-0.919757517735889	0.031315508610845	1.02588020613755	5	Loss	Loss
chr1	101705491	104297403	0.475409836065574	0.0138195177430607	0.95997129705662	1.0592786726142	8	Normal	Normal
chr1	107691338	120934508	0.453619161042742	-0.00645319310273548	0.903189296058514	1.08788465677526	8	Normal	Normal
chr1	144852417	148594539	0.346832397754611	-0.00510386114534574	0.691215134529703	1.30172191231085	1	Ambiguous	Ambiguous
chr1	149901120	151734914	0.443089430894309	0.132897361928474	0.971689430602609	1.22129772470236	8	Normal	Normal
chr1	151735544	153390613	0.423076923076923	-0.216317951229487	0.728334933817124	0.993184000659714	1	Ambiguous	Ambiguous
chr1	153391700	156810780	0.441295546558704	0.0648750406869508	0.923185285168109	1.16880338856146	8	Normal	Normal
chr1	156811225	160106756	0.459895689734399	-0.108004917970083	0.853447115594746	1.00229351134532	8	Normal	Normal
chr1	160109480	163325192	0.429285714285714	0.0249437373769382	0.873544925378417	1.16133510046149	8	Normal	Normal
chr1	164529155	186957574	0.452054794520548	-0.00233643826321823	0.902646572538669	1.09411705762263	8	Normal	Normal
chr1	199997007	208391196	0.444794952681388	-0.0152833585471389	0.880215671906471	1.09870892379815	8	Normal	Normal
chr1	209605594	232002296	0.441176470588235	0.00467972975113516	0.88521971303397	1.12127830317636	8	Normal	Normal
chr1	233091379	238053848	0.423076923076923	0.0510527589641475	0.876632857573725	1.19540844214599	8	Normal	Normal
chr1	240070823	247614480	0.407407407407407	0.0169780627807438	0.824460442003205	1.1992151883683	8	Normal	Normal
chr1	247614769	249212460	0.472972972972973	-0.204858689986725	0.820725089029961	0.914522242061957	8	Normal	Normal
chr2	3193188	3691676	0.459985375365616	-0.109074093090925	0.852981173870336	1.0013846811144	8	Normal	Normal
chr2	8822381	12880822	0.425149700598803	0.0323985040226688	0.869610539683106	1.17581143393772	8	Normal	Normal
chr2	14774267	16769352	0.456682944474589	-0.00730952740761608	0.908749952519692	1.08114251776996	8	Normal	Normal
chr2	17773422	21265290	0.462476547842401	-0.0494205791535545	0.893804698949288	1.03884400101003	8	Normal	Normal
chr2	24194215	32143050	0.459648244002895	0.0159847850423445	0.929538753608405	1.0927440805724	8	Normal	Normal
chr2	32145923	33824262	0.458778995820968	0.110319274127591	0.990473664703243	1.1684605361331	8	Normal	Normal
chr2	36583607	40657381	0.45360824742268	0.0772817401693576	0.957139104136	1.15291755725473	8	Normal	Normal
chr2	42275939	50573957	0.445906432748538	0.0508127323776965	0.923782838463142	1.14791375664764	8	Normal	Normal
chr2	53897730	56149535	0.436170212765957	0.0968651389647827	0.932921949508382	1.20597227619376	8	Normal	Normal
chr2	60679755	65492243	0.459325396825397	0.121720204324889	0.999520917256647	1.17654190044249	8	Normal	Normal
chr2	67624665	75937819	0.453033088235294	0.00147677898780858	0.906994123488125	1.09505417506144	8	Normal	Normal
chr2	84652621	88926592	0.416666666666667	0.0192133385612974	0.844505622187302	1.18230787106222	8	Normal	Normal
chr2	95537587	103431317	0.4	-0.0275694171699325	0.784857414643017	1.17728612196453	1	Ambiguous	Normal
chr2	105472968	107460366	0.429129464285715	-0.112077567633866	0.794108090016161	1.05640126929328	8	Normal	Normal
chr2	108604700	114714984	0.421052631578947	0.0378117352509335	0.864467853830968	1.18864329901758	8	Normal	Normal
chr2	118572396	122522881	0.464375	-0.0602559937400147	0.890758479422121	1.02742936320963	8	Normal	Normal
chr2	127447859	128945104	0.458114035087719	0.0316029085260451	0.936519913618439	1.10777439279615	8	Normal	Normal
chr2	130897195	133402933	0.33068783068783	-0.088342345480302	0.622091851793843	1.25911390803074	1	Ambiguous	Ambiguous
chr2	140990825	145274881	0.448979591836735	-0.124813622212586	0.823538585864658	1.01070644628844	8	Normal	Normal
chr2	150294281	155711746	0.458464722112731	0.0842089903155451	0.972042717513914	1.14816996326657	8	Normal	Normal
chr2	157182390	163694990	0.415780456103037	-0.0396098664652787	0.809040586475977	1.13679543010553	8	Normal	Normal
chr2	165349619	166929982	0.439641744548287	-0.0503400893236429	0.849131674477011	1.08228563292508	8	Normal	Normal
chr2	168725603	180634443	0.439393939393939	0.00586500102682387	0.882367694593685	1.12577947241263	8	Normal	Normal
chr2	187455142	193059164	0.425257731958763	0.0134016389484319	0.858452974146517	1.16021220142226	8	Normal	Normal
chr2	196544917	199011595	0.434316353887399	0.0711549008991546	0.912548462898325	1.18856620784906	8	Normal	Normal
chr2	200137073	204822564	0.441176470588235	0.11016923005121	0.952371916623703	1.20633776105669	8	Normal	Normal
chr2	206548051	209358193	0.447761194029851	-0.0265151810786709	0.879213975625589	1.08436390327156	8	Normal	Normal
chr2	210518000	220506411	0.450079239302694	-0.00146195895399381	0.899246762579291	1.09872755850357	8	Normal	Normal
chr2	222290805	225449693	0.448827120822622	-0.00934000373749752	0.891861601547148	1.09523222627796	8	Normal	Normal
chr2	227659793	230456575	0.488945578231292	-0.0520220420198268	0.943257622701392	0.985909271727892	8	Normal	Normal
chr2	230875505	242800952	0.445527213102536	-0.078083100536166	0.844109671782568	1.05052133381731	8	Normal	Normal
chr3	2942437	5257558	0.0159362549800797	-0.973174014032979	0.0162353515232823	1.00253295656268	5	Loss	Loss
chr3	6903229	20225448	0.0204166666666665	-0.950292647251086	0.0211323717757074	1.01392257234058	5	Loss	Loss
chr3	25470301	33907930	0.024725274725275	-0.901399740233596	0.0264741948877343	1.04425990946062	5	Loss	Loss
chr3	35723308	41280729	0.0375	-0.971625338091821	0.0382448438499433	0.981617658815212	5	Loss	Loss
chr3	42201909	53916067	0.024390243902439	-0.306215655222079	0.0394517290321879	1.57806916128752	3	CN Neutral LOH	Loss
chr3	56598011	60522644	0.0185185185185185	-0.194515014013118	0.0323654300508709	1.71536779269616	3	CN Neutral LOH	Loss
chr3	68788288	74570236	0.25	0.00732594814216827	0.502545437495459	1.50763631248638	6	Ambiguous	Ambiguous
chr3	87289894	89528599	0.211111111111111	0.00770347335787765	0.424482767120857	1.58622507713583	6	Ambiguous	Ambiguous
